,ZCR_mean,Loudness,Beat_loudness,ZCR_std,spectral_centroid,Pitch_centroid,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12
Sit albait,0.055349249588816,-27.793562,0.044639766,0.022089034730743,1389.93406844324,529.2203,-264.024078369141,137.91227722168,1.34979224205017,18.6717872619629,-15.6404886245728,22.1245536804199,-11.6514854431152,-10.7415523529053,-16.2620277404785,2.24407386779785,-5.42346811294556,0.035262141376734,-11.2067537307739,53.873779296875,24.0938720703125,18.1469020843506,18.5151634216309,17.3903408050537,9.62943077087402,11.0941343307495,10.8642654418945,9.33653259277344,9.75699138641357,11.582612991333,8.82992553710938,8.29804515838623
Sai Sai,0.13903619630418,-16.824053,0.1507019,0.062717968127979,2897.2587521398,1289.2238,-59.2588882446289,64.1001815795898,-11.0658941268921,32.6881713867188,-9.48567390441895,1.62058424949646,-4.10981559753418,-0.582099914550781,-13.0125589370728,8.44349002838135,-7.86604785919189,-0.886261761188507,-1.96171712875366,60.4711227416992,25.3731727600098,20.5765991210937,16.6421089172363,10.6164026260376,12.9743385314941,9.83225631713867,8.14087009429932,9.24126720428467,12.0509815216064,8.53198528289795,7.53037309646606,8.41821956634522
Biladi,0.085016114792957,-25.01447,0.11606601,0.055006396564172,2124.02882426159,782.73846,-221.07243347168,90.2288665771484,5.71395921707153,5.33306741714478,2.71230912208557,5.98069620132446,-3.67410397529602,-2.84953784942627,-16.5487365722656,-0.805737376213074,-4.67101812362671,-2.41423439979553,-5.56411981582642,116.632102966309,42.1646308898926,30.4240970611572,21.0424976348877,25.819091796875,15.861065864563,13.7051038742065,16.7205486297607,16.0651760101318,15.751482963562,12.9643135070801,12.3059730529785,10.695972442627
Abu aaj akhoi,0.090752285700464,-10.448896,0.30858028,0.015683533494588,1309.66977380728,919.32825,-58.8957290649414,161.82421875,-44.0846900939941,-2.30720400810242,-5.85180521011353,34.0443458557129,2.35763454437256,17.242977142334,-21.0820064544678,-7.26081943511963,-9.49017143249512,7.30874252319336,-15.7068500518799,20.0211334228516,11.7887678146362,11.4921035766602,7.6756443977356,8.50234317779541,6.60158395767212,5.99444818496704,5.95443344116211,6.12131547927856,5.7326512336731,5.40079975128174,5.2436375617981,5.41730213165283
Afia minnak wa radia annak,0.036169849313081,-31.99677,0.03311046,0.014622870914903,1414.31255011094,335.54083,-340.807495117187,124.475921630859,23.5556697845459,25.6274604797363,15.7985715866089,13.9763565063477,6.5283694267273,3.22810101509094,-10.5407466888428,-12.6869955062866,-10.8879404067993,-6.31780242919922,-10.9680652618408,86.6230316162109,30.6695117950439,19.1689395904541,10.9751129150391,9.35113525390625,8.11577320098877,8.94985198974609,8.25725173950195,7.33598709106445,7.38979530334473,5.60437917709351,6.50929307937622,5.7046480178833
Tayr alkhodari,0.148372874540441,-26.61094,0.057179146,0.054369719569941,2773.85470311839,1234.3645,-185.490203857422,63.4210395812988,-17.5529613494873,19.8897361755371,0.91901558637619,-1.13228988647461,-7.84591341018677,3.18869805335999,4.86311197280884,5.65889167785645,-4.96281242370606,1.42706680297852,-3.94105172157288,49.2930526733398,22.4034404754639,16.4908180236816,12.001914024353,12.2551326751709,9.13334560394287,8.28423404693604,11.2247724533081,9.76456832885742,10.5529356002808,9.25492286682129,8.72579097747803,8.5754280090332
Bi saraha,0.114078675261223,-23.992556,0.067230314,0.030160678817924,1917.55069310811,1108.3242,-157.863922119141,112.426872253418,-35.3538818359375,28.001880645752,-9.55764770507813,2.15168690681458,-9.50496196746826,1.48111057281494,-7.71961641311646,-2.94216728210449,-9.98894786834717,-0.176202595233917,-8.55148315429688,35.0463638305664,17.8819522857666,10.4559020996094,8.50283050537109,7.21980619430542,7.38233804702759,6.61998701095581,6.25863695144653,6.25221347808838,6.49256706237793,6.01419734954834,7.06564140319824,6.26661682128906
Al welaid aldaif,0.080844182348104,-13.712186,0.21846677,0.025761822364429,1857.0821056416,823.1554,-55.4235916137695,117.656585693359,-30.7943782806396,54.509651184082,-11.3379554748535,21.6175441741943,-2.42638921737671,8.24986743927002,1.14599943161011,3.28694844245911,-6.51687383651733,-3.19483661651611,-3.51157712936401,29.2360210418701,10.5940647125244,10.1890144348145,8.9709005355835,9.09050369262695,8.11613273620606,6.23524761199951,6.29787158966064,6.6256594657898,6.20827484130859,7.11564683914185,6.6935510635376,5.42010116577148
Al bambi,0.090304064676858,-13.365319,0.22675854,0.042423180229368,1734.1874513731,914.68256,-77.7895584106445,118.046997070313,-30.7455615997314,47.502815246582,3.67924761772156,4.63276243209839,-3.37234091758728,1.45137989521027,-4.99903249740601,-0.303700357675552,-4.73557281494141,1.02828168869019,-3.95580005645752,78.1405181884766,26.6626567840576,20.904670715332,16.5368518829346,12.6757936477661,9.98729228973389,12.3523626327515,8.83005809783936,11.6877460479736,9.12860774993897,9.15585422515869,8.96606254577637,7.83468341827393
Ma nseetak,0.107083630635642,-11.881748,0.27558276,0.032263638143838,2158.36159185831,947.4243,-6.18629217147827,98.2285232543945,-19.9983348846436,23.9882621765137,-18.2494144439697,0.746523082256317,-8.29948616027832,-3.24274301528931,-15.8170185089111,-0.712069571018219,-9.59148502349854,-1.30639719963074,-8.98893928527832,43.3190269470215,21.7745761871338,12.1209669113159,10.4723739624023,11.2749176025391,9.94753837585449,7.6686577796936,7.12176275253296,7.85655975341797,8.97978782653809,7.44040966033936,6.50697088241577,6.3592267036438
