track_id,track_title,artist_name,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Alaman,Alblabel,1,2000,0.317,0.386,9,-13.066,1,0.97,0.436,0.163,0.782,100.796,352271,4
1,Aboi,Insaf Fathi,9,2021,0.527,0.444,11,-13.708,1,0.66,0,0.414,0.725,124.681,459023,4
2,Aboya wain,Ahmed Amin,6,2019,0.494,0.17,4,-20.979,0,0.7,0,0.0875,0.314,155.024,184258,1
3,Abu aaj akhoi,Alblabel,0,2000,0.322,0.63,10,-9.473,0,0.92,0.964,0.116,0.758,102.394,353687,3
4,Agacheh,Squad التالتة,12,2020,0.737,0.704,4,-7.925,0,0.31,0,0.106,0.737,139.985,154299,4
5,Agmal hiba,Mohamed Aljazar,2,2013,0.557,0.493,4,-6.125,0,0.36,0,0.207,0.297,109.994,176543,4
6,Aktar min sana,Roaa Naeem,10,2020,0.722,0.551,11,-6.902,0,0.15,0.0001,0.0963,0.771,131.971,224351,3
7,Alam alfurag,Mubarak Albana,8,2021,0.533,0.74,11,-8.757,0,0.79,0.0005,0.118,0.929,164.973,419471,4
8,ALbareedo,Huda Arabi,15,2020,0.526,0.309,10,-20.106,0,0.63,0,0.29,0.834,116.846,73091,4
9,Albnreedo Tayeh,Alblabel,0,2000,0.62,0.673,0,-5.461,0,0.88,0.0026,0.0759,0.948,143.995,267599,3
10,Aldahhabi,Eman Alshareef,14,2021,0.701,0.814,11,-3.225,0,0.34,0,0.0828,0.931,149.915,203833,4
11,Algallabeya,Ahmed Amin,23,2019,0.719,0.33,3,-14.613,0,0.62,0.0949,0.0858,0.66,139.896,177842,4
12,Algammoee,Eman Alshareef,17,2020,0.746,0.792,1,-4.428,1,0.17,0,0.0414,0.962,72.469,251664,3
13,Alhabeeb malo ma ja,Mahmoud Abdelaziz,2,1995,0.597,0.285,11,-14.235,0,0.55,0.889,0.37,0.481,131.919,297898,3
14,Alhalim sabana,Taha Suliman,3,2020,0.331,0.329,4,-19.272,1,0.68,0,0.783,0.753,169.52,368614,3
15,Aljarih jarhe barai,Ahmed Fathallah,3,2021,0.49,0.459,8,-12.321,0,0.66,0,0.407,0.859,85.713,147599,4
16,Alseneen,Mahmoud Abdelaziz,5,2009,0.407,0.782,11,-3.62,0,0.71,0.0066,0.282,0.681,155.659,533495,4
17,Asmar gameel,Sabah Abdalla,0,2021,0.43,0.507,5,-13.776,1,0.8,0,0.796,0.902,146.824,339455,4
18,Enta almohim,Amjad Bagera,2,2020,0.603,0.654,2,-5.919,1,0.66,0.0001,0.436,0.644,107.91,432744,3
19,Etfadali,Mahmoud Abdelaziz,12,2006,0.619,0.632,7,-9.363,1,0.59,0.0005,0.201,0.817,177.604,328606,3
20,Ezayyakum,Gamal Farfour,4,2015,0.568,0.898,2,-5.265,0,0.67,0.0401,0.412,0.579,104.594,272405,4
21,Ommi Allah yesallimik,Gamal Farfour,1,2015,0.393,0.464,6,-9.373,1,0.85,0,0.126,0.587,117.171,338469,3
22,100 Bako,AlBitar,5,2020,0.787,0.675,9,-7.304,0,0.09,0,0.0611,0.53,162.082,278704,4
